Nome,Atribuir,Categoria,Pagamento,Pendente,Próximo Vencimento,Status,Valor Orçado,Valor Contratado,Valor Pago
Caixa convite,,Papelaria,1,"R$ 0,00",,Fechado,"R$ 799,00","R$ 799,00","R$ 799,00"
Doces,,Buffet e Comida,1,"R$ 0,00",,Orçado,"R$ 4.242,00","R$ 2.800,00","R$ 2.800,00"
Pizza do Leo,,Buffet e Comida,0.5,"R$ 1.875,00",28 de agosto de 2026,Fechado,"R$ 3.750,00","R$ 3.750,00","R$ 1.875,00"
Hamburger katu,,Buffet e Comida,0.5,"R$ 1.450,00",30 de agosto de 2026,Fechado,"R$ 2.600,00","R$ 2.900,00","R$ 1.450,00"
Massa,,Buffet e Comida,0.5,"R$ 2.950,00",,Fechado,"R$ 5.900,00","R$ 5.900,00","R$ 2.950,00"
Mesa de frios,,Buffet e Comida,0.3074670571010249,"R$ 4.730,00",31 de agosto de 2026,Fechado,"R$ 6.830,00","R$ 6.830,00","R$ 2.100,00"
Dj,,Música,0.5,"R$ 625,00",,Fechado,"R$ 1.250,00","R$ 1.250,00","R$ 625,00"
Banda,,Música,0.5,"R$ 1.350,00",,Orçado,"R$ 3.500,00","R$ 2.700,00","R$ 1.350,00"
No Tom,,Música,0.3,"R$ 2.135,00",24 de setembro de 2026,Fechado,"R$ 3.050,00","R$ 3.050,00","R$ 915,00"
Alter no Altar,,Cerimonial e Assessoria,1,"R$ 0,00",,Fechado,"R$ 2.550,00","R$ 2.550,00","R$ 2.550,00"
Rangel,,Decoração,0.09467455621301775,"R$ 19.125,00",30 de agosto de 2026,Fechado,"R$ 21.125,00","R$ 21.125,00","R$ 2.000,00"
Breno Vídeos,,Foto e Vídeo,0.5,"R$ 2.500,00",18 de setembro de 2026,Fechado,"R$ 5.000,00","R$ 5.000,00","R$ 2.500,00"
Fotos,,Foto e Vídeo,0.5,"R$ 2.360,00",29 de agosto de 2026,Fechado,"R$ 4.720,00","R$ 4.720,00","R$ 2.360,00"
Maquiagem,,Beleza e Vestuário,0.3,"R$ 1.106,00",29 de agosto de 2026,Fechado,"R$ 1.580,00","R$ 1.580,00","R$ 474,00"
Drinks,,Bebidas,0.5,"R$ 1.560,00",30 de agosto de 2026,Fechado,"R$ 3.120,00","R$ 3.120,00","R$ 1.560,00"
Casa Bela,,Local e Estrutura,1,"R$ 0,00",,Fechado,"R$ 15.500,00","R$ 15.500,00","R$ 15.500,00"
Gelato paidegua,,Buffet e Comida,0.5833333333333334,"R$ 500,00",31 de agosto de 2026,Fechado,"R$ 1.200,00","R$ 1.200,00","R$ 700,00"
Vera cerimonialista,,Cerimonial e Assessoria,0,"R$ 2.500,00",31 de julho de 2026,Fechado,"R$ 2.500,00","R$ 2.500,00",
Casamento civil,,Documentação e Cerimônia,0,"R$ 630,00",,Orçado,"R$ 630,00","R$ 630,00",
Passagem,,Lua de Mel e Viagem,0.23010874999999997,"R$ 6.159,13",,Verificar,"R$ 8.000,00","R$ 8.000,00","R$ 1.840,87"
Identidade visual,,Papelaria,0.5,"R$ 180,00",,Fechado,"R$ 360,00","R$ 360,00","R$ 180,00"
Bebidas avulso,,Bebidas,0,"R$ 4.000,00",,Verificar,"R$ 4.000,00","R$ 4.000,00",
Estrutura,,Local e Estrutura,1,"R$ 0,00",,Fechado,"R$ 7.000,00","R$ 7.000,00","R$ 7.000,00"
Alianças,,Beleza e Vestuário,0,"R$ 5.000,00",,Verificar,"R$ 5.000,00","R$ 5.000,00",
welcome drinks,,Bebidas,1,"R$ 0,00",,Fechado,"R$ 1.299,00","R$ 1.299,00","R$ 1.299,00"
Refrigeração,,Local e Estrutura,0,"R$ 1.500,00",,Verificar,"R$ 1.500,00","R$ 1.500,00",
Terno,,Beleza e Vestuário,0,"R$ 3.000,00",,Verificar,"R$ 3.000,00","R$ 3.000,00",
Bia serique,,Foto e Vídeo,0.3,"R$ 2.030,00",,Verificar,"R$ 2.900,00","R$ 2.900,00","R$ 870,00"
Sapato e grinalda,,Beleza e Vestuário,1,"R$ 0,00",,Fechado,"R$ 235,53","R$ 235,53","R$ 235,53"
Hobby da Noiva,,Beleza e Vestuário,1,"R$ 0,00",,Fechado,"R$ 192,47","R$ 192,47","R$ 192,47"
Forminhas de doce,,Buffet e Comida,1,"R$ 0,00",,Fechado,"R$ 477,49","R$ 477,49","R$ 477,49"
"Sombrinhas, Leques, porta lagrimas e petalas",,Lembrancinhas,1,"R$ 0,00",,Fechado,"R$ 909,09","R$ 909,09","R$ 909,09"
